CustomerID,FirstName,LastName,Gender,PhoneNumber,Date_of_Birth,CustomerSince,Country
17850,Julie,Jordan,Female,(718) 416-6242,1969-12-20,1999-10-24,United Kingdom
13047,John,Rodriguez,Male,(914) 962-6680,1999-01-22,2007-05-23,United Kingdom
12583,Karen,Wood,Male,(702) 603-9810,1960-08-27,2009-06-08,France
13748,Brenda,Carter,Male,(718) 634-8770,1969-12-30,2002-02-27,United Kingdom
15100,Sean,James,Female,(312) 362-2677,1999-12-22,2010-04-19,United Kingdom
15291,James,Franklin,Female,(415) 913-3311,1964-10-27,2000-08-10,United Kingdom
14688,Michael,Harrison,Male,(617) 276-9889,1990-02-25,1998-03-07,United Kingdom
17809,Adam,Combs,Female,(512) 754-7628,1950-05-16,2006-11-27,United Kingdom
15311,Chad,Haynes,Female,(619) 502-1078,1987-02-09,2000-05-23,United Kingdom
14527,Veronica,Hernandez,Male,(818) 233-5181,1993-11-12,2003-02-10,United Kingdom
16098,Sharon,Holt,Female,(202) 894-9676,1991-11-13,2008-10-18,United Kingdom
18074,Angel,Haynes,Female,(914) 405-5440,1957-12-28,2006-02-08,United Kingdom
17420,William,Bass,Male,(510) 450-8372,1968-04-16,2000-11-19,United Kingdom
16029,Stephen,Woodward,Male,(617) 844-3284,1998-05-21,2008-07-06,United Kingdom
16250,Jason,Holder,Female,(619) 252-7682,1992-07-14,2011-11-01,United Kingdom
12431,Linda,Scott,Female,(415) 786-3589,1951-07-26,2007-04-01,Australia
17511,Sarah,Hall,Female,(805) 518-9526,1999-07-18,2009-06-08,United Kingdom
17548,Rebekah,Martinez,Male,(818) 102-1958,1995-12-12,2008-01-23,United Kingdom
13705,Dominique,York,Female,(626) 986-4735,1993-08-07,2001-10-20,United Kingdom
13747,Cody,Morgan,Male,(213) 526-8125,1978-01-16,1998-06-02,United Kingdom
13408,Katherine,Ward,Female,(213) 977-3637,1994-06-14,2006-07-11,United Kingdom
13767,Nicole,Miller,Male,(503) 684-1045,1971-04-26,2004-12-05,United Kingdom
17924,Alexander,Sanchez,Male,(503) 838-2390,1968-01-26,2007-07-15,United Kingdom
13448,Jason,Schmidt,Female,(718) 284-3236,1988-10-21,2003-10-30,United Kingdom
15862,Brittney,Walker,Male,(702) 683-4823,1979-09-07,2001-05-29,United Kingdom
15513,Elizabeth,Cantrell,Male,(650) 687-4317,1979-03-18,2009-04-11,United Kingdom
12791,Kim,Bradshaw,Male,(425) 979-7434,1953-06-16,2000-05-02,Netherlands
16218,Samantha,Green,Male,(312) 728-3511,1960-07-01,2007-06-01,United Kingdom
14045,Daniel,Hernandez,Male,(212) 813-5351,1956-04-19,2005-02-20,United Kingdom
14307,Rachel,Velasquez,Male,(512) 700-9910,1986-02-04,2006-07-28,United Kingdom
17908,Christine,White,Female,(425) 841-2918,1990-12-22,2005-04-28,United Kingdom
17920,Dominique,Harvey,Female,(510) 147-1182,1967-12-11,2001-03-19,United Kingdom
12838,Glen,Ruiz,Male,(702) 756-7206,1954-11-07,2003-11-19,United Kingdom
13255,Michelle,Gutierrez,Male,(805) 129-9710,1980-01-30,2001-11-15,United Kingdom
16583,Nathan,Walls,Male,(510) 198-6910,1969-11-25,2006-08-21,United Kingdom
18085,Teresa,Jarvis,Male,(718) 350-9926,1992-05-08,2000-10-27,United Kingdom
13758,Ronald,Petersen,Female,(619) 691-6777,1956-10-21,2007-01-07,United Kingdom
13694,Marc,Collins,Male,(213) 469-9254,1993-06-24,2009-07-12,United Kingdom
15983,Jennifer,Hunt,Female,(212) 558-1367,1966-10-26,2007-09-25,United Kingdom
14849,Hailey,Ellis,Female,(818) 681-9682,1956-04-10,1999-11-08,United Kingdom
17968,Elizabeth,Nicholson,Female,(305) 566-3871,1951-04-18,1999-10-10,United Kingdom
16210,Cole,Moore,Male,(415) 150-5092,1993-11-09,2002-04-03,United Kingdom
17897,Nicole,Anderson,Male,(626) 487-6530,1992-11-24,2008-05-29,United Kingdom
